ObjectId,Year,Fund,Workgroup,Organization,Program,Program_Summary,Amount_Requested,Amount_Funded,Amount_Spent
433,2016,GF,YOP,Wildlands Restoration Volunteers,Youth Stewardship Program,"Support the Youth Leadership Certificate, High School Crew Leader Training and projects involving middle school age youth in outdoor stewardship and restoration.  Requested support for personnel and supplies for restoration projects.",6954,0,0
797,2015,GF,YOP,Arapahoe Ridge High School,REAL,Support student leadership and positive youth-adult relationships by funding staff support and supplies to implement a Positive Behavioral Intervention Support program.,13325,10306,10241
1565,2003,GF,HSF,Bridge House,Basic Needs,,,10000,9728
1110,2008,GF,YOP,Peers Building Justice Program (PBJ),Teen Dating Violence Awareness,,5215.05,0,0
382,2016,GF,HSF,Boulder Valley School District,Teen Parent Program,"Mentoring family mental health consultant, teen father social worker, curriculum/resource support, health/wellness",25000,15000,14509
1291,2003,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,3634,3272
19,2019,GF,HSF,Clinica Campesina Family Health Care Services,Health Care for the Underserved,Comprehensive primary health care with access to integrated behavioral health and dental care,350000,300000,274940
1201,2006,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,96724,89845
209,2018,GF,HSF,Early Childhood Council of Boulder County,ECCBC,"School readiness for young children through collaboration with health, early literacy and family support organization partners",50000,50000,49862
1153,2011,GF,YOP,I Have A Dream Foundation of Boulder County,Leading Through Service Program,,8000,0,0
1897,1995,GF,HSF,BV Women's Health Center,Family Planning and Gyn,,,59510,55999
66,2018,GF,HRF,Boulder Jewish Festival,Boulder Jewish Festival 2018,,5000,2000,1856
1646,1998,GF,HSF,Clinica Campesina Family Health Care Services,"Newborns, Infants and Toddlers",,,25000,22891
875,2009,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,18000,17567
1924,1997,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,25000,24331
1166,2010,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,18000,17927
697,2012,GF,HSF,Boulder County Public Health,Genesis,,,100000,92896
1060,2010,GF,HSF,Intercambio de Comunidades,Uniting Communities,,,30000,28206
1123,2011,GF,HSF,Community Food Share,Food Procurement and Distribution,,,5000,4936
451,2015,GF,CoIH,YWCA,Exploring Latina Heritage and Immigration Policy,,2500,2000,1818
1879,1996,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,7000,6718
1067,2010,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,180388,175904
1127,2011,GF,HSF,Dental Aid,Children and Youth Oral Health,,,25000,23785
730,2014,GF,YOP,I Have A Dream Foundation of Boulder County,Dreamer Council and Expanding the Dream,Support youth leaders at Casey Middle School in the Dreamer Council and provide college preparation workshops and tours to all students at Casey Middle School.,15000,0,0
1254,2005,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,7279,6668
1751,2000,GF,HSF,Clinica Campesina Family Health Care Services,Adult Program,,,151056,139205
44,2019,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Economic Empowerment Program,"Intensive case management, mentoring and resource facilitation with a focus on employment and financial empowerment for Transitions program clients",25000,25000,22890
672,2013,GF,HSF,Mental Health Partners,Circulo de la Vida Familiar,,,62645,62602
1308,2003,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,158804,157859
1940,1996,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,20000,19172
479,2014,GF,HSF,Dental Aid,Adult Assured Access,,,70000,67412
1719,2000,GF,HSF,Boulder County Housing and Human Services,Project Self-Sufficiency,,,15450,15241
22,2019,GF,HSF,Community Cycles,Building An Upward Cycle,"Bicycles and safety gear (helmets, lights, and locks) and maintenance and support to residents released from jail after serving their sentence",31500,0,0
1847,1999,GF,HSF,Emergency Family Assistance Association,Basic Needs & Shelter Program,,,102533,93687
748,2014,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,30000,27771
312,2018,HEF,HEF,Boulder County Public Health,Farm to Early Care and Education Program,"Funding will be used to increase the reach of the Farm to ECE program to 10 additional child care centers in the City of Boulder and expand the program to a 12-month curriculum adding family engagement activities, sugar sweetened beverage education and sugary drink reduction strategies. Additional funding will be used to hire program staff, purchase garden tools, children's gardening books and food preservation equipment.",47696,47696,45358
536,2015,GF,HSF,Bridge House,Resource Center/Basic Needs & Case Management,,,40000,36117
1324,2002,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,13539,12509
634,2013,GF,CIF,Out Boulder County,LGBTQ Young Adults,,5000,5000,4933
1420,2000,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,23227,22670
1041,2009,GF,YOP,Impact on Education,OWL at Manhattan Middle School,,14700,0,0
517,2013,GF,HSF,Dental Aid,Adult Assured Access,,,70406,69389
1207,2007,GF,YOP,"Looking Glass Arts, Inc.",4 Week Video Filmmaking Adventure,,5985,0,0
1749,2000,GF,HSF,City of Boulder Children Youth and Families,Child Care Certificate Program,,,170676,167047
106,2017,GF,MLK,Boulder Showing up for Racial Justice,Showing Up for Racial Justice Workshop,,350,350,323
87,2018,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for survivors of domestic violence,19000,19000,17542
620,2014,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Outreach and Increased Access,,,5000,4534
1535,2003,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,13539,13426
1097,2011,GF,HSF,Center for People with Disabilities (CPWD),Advocacy Program,,,5000,4927
73,2018,GF,HRF,Family Learning Center,Multi-Cultural Family Festival/Park Renovation,,2100,2100,1963
1653,1998,GF,HSF,Developmental Disabilities Center (dba Imagine!),Counseling Program,,,8000,7559
1673,1995,GF,HSF,Developmental Disabilities Center (dba Imagine!),Counseling Program,,,8900,8703
922,2009,GF,YOP,Casey Middle School,Mexican Folklorico Dance Group,,17728.81,10082,9312
719,2014,GF,YOP,Boulder Museum of Contemporary Art,The Studio Project and Art Lounge Program,Engage and connect middle and high school youth with contemporary art and visiting artists through leadership development and youth events.,11146,0,0
734,2015,GF,HSF,Immigrant Legal Center of Boulder County,Immigrant Legal Center of Boulder County,,,23000,22249
1955,1996,GF,HSF,BV Women's Health Center,Youth Program,,,12000,11703
49,2019,GF,HSF,Voices for Children,CASA of Boulder,Provide court-appointed volunteers to advocate for victims of child abuse or neglect during court proceedings,10000,10000,9371
1426,2002,GF,HSF,Mental Health Partners,Family and Community Child Care,,,28912,28162
172,2017,GF,YOP,Out Boulder County,Out Youth Program,"Offer leadership development and community building through funding staff and supplies for art and activism, community events and bystander intervention workshops for lesbian, gay, bisexual, transgender, queer and allied youth.",9058,9058,8808
1883,1995,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,12000,11586
1277,2003,GF,HSF,Dental Aid,Adult Assured Access,,,40866,39242
260,2017,GF,HRF,Postoley Dance Ensemble,Folk Dancing on the Plaza,,2800,1200,1162
1409,2001,GF,HSF,Partners of Boulder County,One-To-One Mentoring,,,15450,14432
1239,2005,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,14703,14254
1668,1995,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,25000,24811
1363,2005,GF,HSF,Mental Health Partners,MESA Prevention Education,,,28426,25652
1196,2009,GF,HSF,YWCA,Children's Alley,,,68750,67175
708,2014,GF,CEF,Community Cycles,Rolling Bike Clinics,,1600,1600,1591
1877,1996,GF,HSF,United Black Women of Boulder Valley,Institute for African American Leadership,,,16000,14938
762,2014,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,25000,24600
834,2010,GF,YOP,New Vista High School,Ceramics Project,,4000,0,0
1622,1998,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,15400,14105
1030,2011,GF,HSF,Boulder Day Nursery,Early Learning Program,,,62000,58697
1311,2003,GF,HSF,Partners of Boulder County,One-To-One Mentoring,,,11000,10720
1651,1998,GF,HSF,Dental Aid,Children and Youth Oral Health,,,16820,15155
624,2014,GF,HSF,Veterans Helping Veterans Now,Outreach and Support,,,15000,14824
1862,1996,GF,HSF,Mental Health Partners,Multicultural Consultation Program,,,18800,17337
1051,2008,GF,YOP,Family Learning Center,Ignite Your Potential,,12000,0,0
1000,2008,GF,HSF,Mental Health Partners,Community Infant Program,,,67982,65164
406,2016,GF,HSF,Rocky Mountain Legal Center,Rocky Mountain Legal Center,"Free & low cost legal services for low-income families, individuals and seniors",10000,0,0
756,2014,GF,HSF,Boulder Outreach for Homeless Overflow,Emergency Warming Centers,,,20000,19471
371,2016,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",19000,19000,18528
389,2016,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,"Preschool with focus on English language learners & special needs children, parent education, referrals & resources",30000,25000,22924
1620,1998,GF,HSF,Boulder County Head Start,Woodlands Toddler Program,,,30000,28853
1139,2011,GF,YOP,Boulder County Partners,Mentoring Program,,16000,15000,13800
901,2010,GF,HSF,Boulder Valley School District,Teen Parent Program,,,25000,23783
869,2012,GF,YOP,Boulder Youth Body Alliance,Peer Leadership Program,"Training and Presentations related to eating disorder prevention, body image issues.",8759,8759,8699
1935,1996,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,18000,17616
297,2017,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,0,42000,40109
1386,2005,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,42771,40578
1556,2003,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,23730,22356
980,2008,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,22050,21059
542,2012,GF,HSF,Boulder Valley School District,Casey Middle: Community Learning Center,,,22000,21285
1387,2001,GF,HSF,Community Food Share,Food Procurement and Distribution,,,33493,30445
1571,2007,GF,HSF,Parenting Place,Latino Family Strengthening,,,5000,4555
233,2018,GF,IPD,Boulder Valley IPD Organizing Committee,Indigenous Peoples Day Parade,,1500,1500,1371
788,2013,GF,YOP,Cal-Wood Education Center,Teen Adventure Program,"Support transportation, staff and supply costs for Latino middle and high school students to attend Calwood on BVSD days off to learn about outdoors, STEM fields and do community service.",10000,0,0
1798,1999,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,21140,21100
1619,1998,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,,,15000,14572
370,2016,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,"Forensic interviews, family support & advocacy, crisis call intervention, school-based prevention ed., partner & community ed.",30000,25000,24021
144,2019,HEF,HEF,Community Cycles,Kids Holiday Bike Giveaway,"Funding will provide bicycles and safety gear to low-income, Latinx and underserved city children; and bicycle repair, riding instruction, safety training, and bicycle maps and other materials to support active bicycling.",86200,70000,69299
991,2008,GF,HSF,Emergency Family Assistance Association,Shelter,,,54500,52093
1939,1996,GF,HSF,Boulder Art for Social Transformational Action,New Artists' Center,,,13100,12147
916,2011,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,99213,95009
1583,2007,GF,YOP,I Have A Dream Foundation of Boulder County,The Hindsight Program,,12029,6329,6112
663,2013,GF,HSF,Bridge House,Basic Needs,,,17257,17063
121,2019,HEF,HEF,Boulder County Public Health,Double Up Food Bucks Retail,Funding will provide SNAP recipients with Double Up Food Bucks to purchase fresh fruits and vegetables at Whole Foods.,254649,254649,233271
